vehicleId,timestamp,latitude,longitude,odometer
281474977331804,2022-05-25T14:37:42.013Z,40.62318717,-74.18668734,429463
281474977331805,2022-05-25T14:34:42.016Z,35.7095758,-78.58865613,108771
281474977331806,2022-05-25T14:33:11.007Z,41.01482274,-77.95564451,169710
281474977331807,2022-05-25T14:33:32.005Z,32.999793789,-97.28845782,180894
281474977331808,2022-05-25T14:33:39.013Z,38.956548239,-84.61057389,350260
281474977331809,2022-05-25T14:35:24.010Z,35.608299629,-80.51847425,186555
281474977331810,2022-05-25T14:35:21.022Z,42.13610912,-83.239374029,146118
281474977331811,2022-05-25T12:51:32.583Z,41.29141484,-81.450019839,343862
281474977331812,2022-05-25T14:35:43.012Z,42.35578883,-83.449871979,466934
281474977331813,2022-05-25T14:37:46.003Z,40.12206431,-74.702386429,202190
281474977508374,2022-05-25T14:33:48.007Z,41.29141568,-81.4499698,283899
281474977557368,2022-05-25T14:37:31.010Z,40.865197629,-74.05986519,489604
281474977736236,2022-05-25T14:37:45.032Z,42.459342829,-79.326164649,280531
281474977746563,2022-05-25T08:39:31.361Z,40.83427871,-74.06057666,320373
281474977748677,2022-05-25T14:37:46.002Z,42.88688869,-78.76750188,190924
281474977904902,2022-05-25T14:36:19.015Z,44.470271379,-93.2945955,198215
281474977927972,2022-05-25T14:37:04.992Z,41.33342372,-82.42031233,231856
281474977974474,2022-05-25T14:37:44.001Z,42.23375185,-83.43599559,431086
281474977999106,2022-05-25T14:37:47.001Z,36.127060089,-80.81239765,278800
